,,,,
,,,,
user,Pic,Website link,GitHub link,Twitter link
SeongHyeon Cho (jaymz9634),https://www.gravatar.com/avatar/82b29fcbad17356a05f071ceade3872a?s=170&d=https%3A%2F%2Fcrowdin.com%2Fimages%2Fuser-picture.png,,,
Julio Jimenez (AnuncioUrbano),https://crowdin-user-avatar.s3.amazonaws.com/1e3100c0345343846af352e6e4ee3699_l.jpeg,,,
bhargavlalo,https://crowdin-user-avatar.s3.amazonaws.com/532232d840d8b8917b6f645c1e6aee9e_l.jpg,,,
Hai Andre Boukris (arnevo),https://crowdin-user-avatar.s3.amazonaws.com/437c117e027ac68de26cd4b2b5a45de3_l.jpg,,,
MauricioMontoya,,,,
Olcso Mobil Bolt (electromobil),https://crowdin-user-avatar.s3.amazonaws.com/d030c00f65e345c97144d56dfcfd580b_l.jpg,,,
Gabriel Manea (wwwimagineataRO),,,,
Tor Eirik Trandal (teitrand),,,,
daichang,https://www.gravatar.com/avatar/691a94730df2fdde071b91900b50b931?s=170&d=https%3A%2F%2Fcrowdin.com%2Fimages%2Fuser-picture.png,,,
Thang Luu (luuthang),https://crowdin-user-avatar.s3.amazonaws.com/8625a74824688a1221400df01d2dfe1f_l.jpg,,,
Ilyasov Ivan (tRACE),https://www.gravatar.com/avatar/d1c8449aa9913eb5cd486fa118855d73?s=170&d=https%3A%2F%2Fcrowdin.com%2Fimages%2Fuser-picture.png,,,
Nicolas Zampieri (nickzampieri),https://crowdin-user-avatar.s3.amazonaws.com/8e7c79589fb11f49aeed57d52109af23_l.jpg,,,
Yuji Sugimoto (bm-sugi),https://crowdin-user-avatar.s3.amazonaws.com/794d193190dbb1e837f8cf8f998b2c99_l.jpg,,,
Tomo402,https://crowdin-user-avatar.s3.amazonaws.com/840294c425c872c4c9230e4b1002d1cb_l.jpg,,,
Daniele Manarin (cracker_pazzo),https://crowdin-user-avatar.s3.amazonaws.com/a644f191e9231552c71b09cd2b1f7e90_l.jpg,,,
Junior Maciel (JuniorMaciel),https://crowdin-user-avatar.s3.amazonaws.com/926deb94cbd9eb87b57838c2d25a7d27_l.jpg,,,
tujiguoman,https://www.gravatar.com/avatar/6ad8eb404aa056fe4f3ea4298a7902c4?s=170&d=https%3A%2F%2Fcrowdin.com%2Fimages%2Fuser-picture.png,,,
Norwegian_Rat (Izraelviz),https://www.gravatar.com/avatar/916ed718999d45e3520b105f2c148cd6?s=170&d=https%3A%2F%2Fcrowdin.com%2Fimages%2Fuser-picture.png,,,
Jose Vicente Bustos Ferrer (jvbferrer),https://crowdin-user-avatar.s3.amazonaws.com/e167400697d77c3909f601964c81d8da_l.jpg,,,
Adam Janík (jmenujuseadam),,,,
Stamatis (breezer),https://www.gravatar.com/avatar/a93d9d1ccc12edb345c175cf0a76777a?s=170&d=https%3A%2F%2Fcrowdin.com%2Fimages%2Fuser-picture.png,,,
Erik Knudsen (eriknuds),,,,
gwaschier,https://www.gravatar.com/avatar/9149f6157ab51d3eba7e76dac93eec3e?s=170&d=https%3A%2F%2Fcrowdin.com%2Fimages%2Fuser-picture.png,,,
hamidreza6620,https://crowdin-user-avatar.s3.amazonaws.com/2cd5d268f8fae92730625d7e72772bc8_l.png,,,
Sidney Fernando (sidneyfernando89),https://crowdin-user-avatar.s3.amazonaws.com/073db73aa309cc62ab452b4379129f6f_l.jpg,,,
Ákos Beke (akosbeke),https://crowdin-user-avatar.s3.amazonaws.com/98fd5ba1b80bb6bd450bd3cbc0a8b791_l.jpg,,,
